,question,translated_question
4171,"J'ai été testé, mais on ne m'a toujours pas rappelé 1 semaine plus tard. On m'avait pourtant parlé d'un maximum de trois jours de délai. Où puis-je rappeler pour avoir mon résultat?","I was tested, but I still haven't been called back a week later. However, I had been told of a maximum of three days delay. Where can I call to get my result?"
4172,Avez-vous un estimé de temps sur les mesures de distance sociale?,Do you have a time estimate on social distance measures?
4173,"comment se fait-il que le bicarbonate de soude ne serait pas efficace pour laver nos légumes, habituellement c'est parfait ?","how is it that baking soda would not be effective in washing our vegetables, usually it's perfect?"
4176,"J’aimerai avoir de l’info sur la quercétine, la chloroquinine et la colimycine","I would like to have information on quercetin, chloroquinine and colimycin"
4177,pourquoi les savon est efficace contre le virus,why soap is effective against the virus
4179,Comment savoir si je suis infecté,How to know if I am infected
4181,Doit-on nettoyer les aliments et sacs d'épicerie qui nous sont livrés? si oui comment?,"Should we clean the food and grocery bags delivered to us? If yes, how?"
4183,Est-ce que des écoulements nasaux sont considére,Are nasal drips considered
4185,Est-ce que la javel est efficace contre le virus ou le savon à vaisselle est il mieux pour laver ce qu’on ramène de l’épicerie?,Is bleach effective against the virus or is dish soap better for washing what you bring back from the grocery store?
4189,Peux-t-on faire entrer le virus chez nous avec nos semelles si on a marché à l’extérieur ,Can we bring the virus into our home with our soles if we walked outside 
4190,"En recevant un résultat positif à un test de la COVID-19, doit-on remettre le compteur de la quarantaine à zéro à partir de la journée du test?","When receiving a positive result in a COVID-19 test, should we reset the quarantine counter to zero from the day of the test?"
4191,Est-ce que je peux aller voir ma copine si elle habite dans une autre maison?,Can I go see my girlfriend if she lives in another house?
4192,Comment pouvons-nous faire pour nous protéger?,How can we protect ourselves?
4193,dois-je enlever mes vêtements quand je retourne chez moi,should i take my clothes off when i get home
4194,"Si on n’a pas de symptômes après 14 jours et qu’un de nos amis est dans la même situation, peut-on se voir?","If we have no symptoms after 14 days and one of our friends is in the same situation, can we see each other?"
4195,pourquoi il faut laver nos légumes,why we should wash our vegetables
4201,Comment savoir si je suis affectée?,How do I know if I have been affected?
4204,Quel est le taux de mortalité?,What is the death rate?
4210,combien de temps peut survivre le virus sur mes mains,how long can the virus survive on my hands
4211,Puis-je aller courir dehors ?,Can I go running outside?
4213,Quelles mesures seront prises pour les loyers?,What measures will be taken for rents?
4214,Qu'est ce que le covid 19,What is covid 19
4216,Combien de temps durera le confinement?,How long will containment last?
4217,Est-ce sécuritaire de laisser mes enfants jouer dehors s'ils restent loin des autres enfants?,Is it safe to let my children play outside if they stay away from other children?
4218,"Est-ce vrai que les particules restent en suspension dans l’air, si oui combien de temps?","Is it true that the particles remain suspended in the air, if so how long?"
4219,Que puis-je prendre pour le symptômes du covid19,What can I take for the symptoms of covid19
4220,Ma grand-mère vit seule et doit rester chez elle. Comment faire livrer de la nourriture ?,My grandmother lives alone and has to stay at home. How do I get food delivered?
4224,"Pour les ainés qui reviennent de voyage. Est-ce qu'ils doivent reste à l'intérieur de la maison ou bien ils peuvent allez prendre des marches dehors, durant leur quarantaine?",For seniors returning from travel. Do they have to stay inside the house or can they go for walks outside during their quarantine?
4226,Quand aurons-nous de nouveau du Purell dans les magasins ?,When will we have Purell in stores again?
4233,Combien de temps le virus est présent sur le textile ?,How long has the virus been present on textiles?
4236,Comment savoir si je peut propager le virus même si je n’ai pas de symptômes?,How do I know if I can spread the virus even if I don't have symptoms?
4238,"J’ai un terrain asthmatique, suis je plus à risque ?","I have asthma, am I more at risk?"
4240,Quels sont les symptômes du Coronavirus?,What are the symptoms of Coronavirus?
4242,Est-ce que le coronavirus peut se transmettre par le sex?,Can coronavirus be transmitted through sex?
4244,Est ce que le virus est plus dangereux pour un asthmatique ?,Is the virus more dangerous for an asthmatic?
4248,À quel moment les personnes infectées par le covid19 sont elles les plus contagieuses ? ,When are people infected with covid19 most contagious? 
4252,Quels sont les symptômes,What are the symptoms
4257,est ce que les vertiges font partie des symptômes du covid-19?,are dizziness part of the symptoms of covid-19?
4258,Comment surmonter le stress et la pression ambiante durant cette periode de confinement?,How to overcome stress and ambient pressure during this period of confinement?
4261,Combien de temps dure la phase active de la maladie,How long is the active phase of the disease
4265,Comment sensibiliser les gens qui ne respectent pas la quarantaine ,How to educate people who don't respect quarantine 
4266,À quel moment une personne infectée par le COVID19 n’est elle plus contagieuse ?,When is a person infected with COVID19 no longer contagious?
4268,quel est mon risque,what is my risk
4269,L’eau de la piscine publique est-elle sécuritaire?,Is public swimming pool water safe?
4271,J'ai posé une question plus tôt mais n'ai pas eu de réponse alors à quoi sert ce robot? Qui a le temps de vous aider à construire votre base de connaissance quand on herche désespérément un appui?,I asked a question earlier but didn't get an answer so what is this robot for? Who has the time to help you build your knowledge base when you desperately cringe for support?
4272,On dit que l'ibuprofene ne doit pas être pris pour soulager. Si on est allergique aux autres aspirine et acetaminophhene on prend quoi? ,"It is said that ibuprofene should not be taken to relieve. If you are allergic to other aspirin and acetaminophhene, what do you take?"
4274,Quels sont les principaux symptômes?,What are the main symptoms?
4275,Je ne travaille plus. Quels sont les programmes auxquels j’ai accès? ,I do not work anymore. What programs do I have access to?
4277,"Je tousse, stu grave?","I'm coughing, serious stu?"
4278,"si je suis en bonne santé et que personnes est a risque dans mon entourage, Puis-je contracter le- Covid-19 sur des surfaces publiques?","If I am in good health and people are at risk around me, Can I contract the- Covid-19 on public surfaces?"
4279,bonjour combien de temps restons malade,hello how long remain ill
4282,c'est lquoi le covid-19?,this is where covid-19?
4283,Quand est-ce que je dois me rendre à l’hôpital si j’ai des symptômes.,When should I go to the hospital if I have symptoms.
4285,Est-ce qu'un traducteur (entrepreneurs et non travailleur autonome) à la pige pour une entreprise unique peut demander le 2000 $ si on lui fournit de mois en mois de travail? ,"Can a freelance translator (entrepreneurs and not self-employed) for a single business ask for the $ 2,000 if it is provided with month-to-month work? "
4286,Que dois-je faire si je tousse,What should i do if i cough
4287,"Si je quitte mon emploi par peur du covid, est-ce que j’ai droit au 2000$ par mois?","If I quit my job for fear of the covid, am I entitled to $ 2,000 per month?"
4288,Combien de temps survit le covid19 sur un contenant placé dans le frigo?,How long does covid19 survive on a container in the fridge?
4289,Que dois-je faire en rentrant chez moi pour minimiser mes risques? ,What should I do when I get home to minimize my risk? 
4290,Ou dois-je me rendre pour me faire tester?,Where should I go to get tested?
4292,Est ce qu'il est possible de faire un test en ligne?,Is it possible to take an online test?
4293,"Est-ce que le virus reste dans l’air d’un espace où es passé une personne contagieuse , combien de temps ?",How long does the virus stay in the air of a contagious person's space?
4294,À quoi servez-vous???,What do you serve ???
4295,"Avec les temperature plus haute qui arrivent , est-ce qu’on pourra aller faire des activités de plein air sans avoir peur de croiser une personne contagieuse ?","With the higher temperatures coming, will we be able to go do outdoor activities without being afraid of coming across a contagious person?"
4301,Quels sont les symptômes du Covid-19 ?,What are the symptoms of Covid-19?
4304,Est-ce qu’un animal tel un chien ou un chat pourrait transmettre le virus à un humain?,Could an animal like a dog or a cat transmit the virus to a human?
4305,Est-ce que je peux l’attraper en croisant quelqu’un dans la rue,Can i catch it by crossing someone on the street
4307,"Bonjour,","Hello,"
4308,"Je voulais savoir, si je n’ai qu’un mal de gorge, est-ce que ça peut être la Covid-19?","I wanted to know, if I only have a sore throat, can it be the Covid-19?"
